feature,importance,normalized_importance
thumb_pixel_184,0.0035268966066609076,0.0035268966066609076
thumb_pixel_158,0.003479789410231874,0.003479789410231874
thumb_pixel_060,0.00339963994317196,0.00339963994317196
thumb_pixel_201,0.0033663535241790863,0.0033663535241790863
thumb_pixel_164,0.0033638827803192193,0.0033638827803192193
gray_mean,0.003342809718704798,0.003342809718704798
thumb_pixel_038,0.003230349503735982,0.003230349503735982
gray_hist_04,0.0032063505181974677,0.0032063505181974677
thumb_pixel_221,0.003040263829167809,0.003040263829167809
thumb_pixel_087,0.003025173544280725,0.003025173544280725
thumb_pixel_103,0.0030224891518546657,0.0030224891518546657
thumb_pixel_042,0.003014569012787002,0.003014569012787002
gray_hist_00,0.0030025259139115318,0.0030025259139115318
red_hist_03,0.0029918110288443406,0.0029918110288443406
thumb_pixel_054,0.0029581164701060585,0.0029581164701060585
thumb_pixel_154,0.0029517387278850285,0.0029517387278850285
thumb_pixel_023,0.0029461507780509377,0.0029461507780509377
thumb_pixel_088,0.002932007790739913,0.002932007790739913
thumb_pixel_067,0.002920109105465827,0.002920109105465827
thumb_pixel_195,0.002899977221928261,0.002899977221928261
thumb_pixel_094,0.0028473378106376535,0.0028473378106376535
red_hist_01,0.002838646795075382,0.002838646795075382
thumb_pixel_022,0.002810030362286431,0.002810030362286431
green_hist_04,0.002808624814592901,0.002808624814592901
thumb_pixel_123,0.0028058496230773684,0.0028058496230773684
thumb_pixel_122,0.002796393735832963,0.002796393735832963
thumb_pixel_240,0.0027902376007775194,0.0027902376007775194
edge_std,0.002789182040340142,0.002789182040340142
blue_hist_02,0.0027834214723356705,0.0027834214723356705
thumb_pixel_172,0.002760685419221563,0.002760685419221563
thumb_pixel_215,0.0027585753722170385,0.0027585753722170385
thumb_pixel_083,0.002739135864063701,0.002739135864063701
thumb_pixel_232,0.002699459379471072,0.002699459379471072
thumb_pixel_218,0.0026875290875623685,0.0026875290875623685
thumb_pixel_247,0.002661923502293266,0.002661923502293266
thumb_pixel_051,0.0026496427590888224,0.0026496427590888224
green_mean,0.0026301846255178418,0.0026301846255178418
gray_hist_03,0.0025930200839513217,0.0025930200839513217
thumb_pixel_241,0.002588690562924676,0.002588690562924676
red_q25,0.002588540884611187,0.002588540884611187
thumb_pixel_025,0.0025785807534079055,0.0025785807534079055
thumb_pixel_102,0.0025724743287120102,0.0025724743287120102
thumb_pixel_191,0.0025699282735708482,0.0025699282735708482
thumb_pixel_055,0.002567211639587838,0.002567211639587838
thumb_pixel_199,0.0025607240859507126,0.0025607240859507126
thumb_pixel_200,0.002555483356152953,0.002555483356152953
blue_std,0.0025553550054973504,0.0025553550054973504
thumb_pixel_007,0.0025549448426499762,0.0025549448426499762
thumb_pixel_026,0.002552383919686292,0.002552383919686292
thumb_pixel_139,0.0025423188289087134,0.0025423188289087134
thumb_pixel_068,0.0025033351443023936,0.0025033351443023936
thumb_pixel_173,0.002494262406554119,0.002494262406554119
thumb_pixel_085,0.0024731617345393965,0.0024731617345393965
thumb_pixel_040,0.002461513097845589,0.002461513097845589
thumb_pixel_133,0.002458983855115524,0.002458983855115524
thumb_pixel_229,0.002448483596841216,0.002448483596841216
thumb_pixel_183,0.0024467952088938296,0.0024467952088938296
thumb_pixel_064,0.002441790842015116,0.002441790842015116
thumb_pixel_206,0.0024353073950407534,0.0024353073950407534
thumb_pixel_175,0.0024060560549885833,0.0024060560549885833
blue_hist_07,0.00238641622784566,0.00238641622784566
thumb_pixel_036,0.0023835089986446,0.0023835089986446
thumb_pixel_086,0.0023808857571726077,0.0023808857571726077
red_hist_07,0.002363509485672931,0.002363509485672931
thumb_pixel_163,0.002339407521235538,0.002339407521235538
thumb_pixel_009,0.0023390229640368014,0.0023390229640368014
thumb_pixel_248,0.002338262349468777,0.002338262349468777
thumb_pixel_214,0.0023363905756838012,0.0023363905756838012
thumb_pixel_057,0.0023255863937744698,0.0023255863937744698
thumb_pixel_204,0.0022903482819829368,0.0022903482819829368
thumb_pixel_210,0.0022859226990518413,0.0022859226990518413
green_hist_02,0.002250788292058754,0.002250788292058754
thumb_pixel_073,0.0022279221485405525,0.0022279221485405525
thumb_pixel_111,0.0022271884375931216,0.0022271884375931216
thumb_pixel_245,0.002219924612184386,0.002219924612184386
thumb_pixel_150,0.002213947564518514,0.002213947564518514
thumb_pixel_198,0.0022099409494979673,0.0022099409494979673
thumb_pixel_006,0.002202987500570798,0.002202987500570798
thumb_pixel_146,0.0021816175320484125,0.0021816175320484125
thumb_pixel_188,0.0021417995082180803,0.0021417995082180803
thumb_pixel_125,0.0021301857773560434,0.0021301857773560434
thumb_pixel_181,0.0020882639831527596,0.0020882639831527596
thumb_pixel_069,0.0020866399503973493,0.0020866399503973493
thumb_pixel_203,0.0020668055247755825,0.0020668055247755825
thumb_pixel_105,0.0020659959526452003,0.0020659959526452003
thumb_pixel_138,0.002044134645785543,0.002044134645785543
thumb_pixel_030,0.0020372113164682294,0.0020372113164682294
green_hist_07,0.002027350091152398,0.002027350091152398
thumb_pixel_207,0.002027133831127478,0.002027133831127478
thumb_pixel_192,0.0020205645192720597,0.0020205645192720597
red_hist_02,0.002008272322334872,0.002008272322334872
thumb_pixel_186,0.002002575771946227,0.002002575771946227
gray_hist_01,0.001998369981725929,0.001998369981725929
thumb_pixel_089,0.0019668530334981758,0.0019668530334981758
gray_max,0.0018964753339673827,0.0018964753339673827
thumb_pixel_130,0.0018934934658890285,0.0018934934658890285
thumb_pixel_152,0.0018907479865936162,0.0018907479865936162
thumb_pixel_082,0.0018900350665798664,0.0018900350665798664
gray_hist_08,0.001815267270661181,0.001815267270661181
thumb_pixel_002,0.0018101814435840997,0.0018101814435840997
thumb_pixel_171,0.001796825017667384,0.001796825017667384
edge_q90,0.0017935503495832294,0.0017935503495832294
thumb_pixel_076,0.0017732780346875806,0.0017732780346875806
thumb_pixel_004,0.001749688162064498,0.001749688162064498
red_std,0.0017473015172203117,0.0017473015172203117
thumb_pixel_244,0.0017313813342065595,0.0017313813342065595
thumb_pixel_117,0.0017242960967440131,0.0017242960967440131
thumb_pixel_180,0.001704391270020486,0.001704391270020486
thumb_pixel_217,0.001698443712299533,0.001698443712299533
thumb_pixel_169,0.0016938398859218803,0.0016938398859218803
thumb_pixel_078,0.0016889236625710277,0.0016889236625710277
thumb_pixel_237,0.001679178588622699,0.001679178588622699
thumb_pixel_053,0.0016694409062148704,0.0016694409062148704
thumb_pixel_148,0.0016635059903926455,0.0016635059903926455
thumb_pixel_157,0.0016635005246856184,0.0016635005246856184
thumb_pixel_049,0.0016598912228845528,0.0016598912228845528
thumb_pixel_231,0.0016517909877018355,0.0016517909877018355
thumb_pixel_020,0.0016510600332530054,0.0016510600332530054
thumb_pixel_071,0.001620405058134791,0.001620405058134791
thumb_pixel_052,0.0016035336776891028,0.0016035336776891028
thumb_pixel_024,0.0016034706151567763,0.0016034706151567763
thumb_pixel_001,0.0015897191212275376,0.0015897191212275376
thumb_pixel_090,0.0015849177701849607,0.0015849177701849607
green_q25,0.0015667518803009072,0.0015667518803009072
thumb_pixel_137,0.0015664315711162154,0.0015664315711162154
thumb_pixel_219,0.001553784376652755,0.001553784376652755
thumb_pixel_166,0.0015354199491436071,0.0015354199491436071
thumb_pixel_251,0.0015040727078271172,0.0015040727078271172
gray_hist_09,0.001485568633198946,0.001485568633198946
thumb_pixel_228,0.0014790574862211677,0.0014790574862211677
thumb_pixel_017,0.0014781085021298853,0.0014781085021298853
thumb_pixel_104,0.0014711699501044095,0.0014711699501044095
thumb_pixel_046,0.0014256095414591614,0.0014256095414591614
thumb_pixel_212,0.0014190594728515362,0.0014190594728515362
thumb_pixel_034,0.0014174696346387977,0.0014174696346387977
