feature,importance,normalized_importance
thumb_pixel_076,0.0023037421733452966,0.0023037421733452966
thumb_pixel_156,0.002301333387259858,0.002301333387259858
red_hist_03,0.002298057115169129,0.002298057115169129
gray_min,0.002290386868541137,0.002290386868541137
thumb_pixel_247,0.0022718074122502355,0.0022718074122502355
thumb_pixel_135,0.002268336213344986,0.002268336213344986
gray_hist_03,0.0022407627977755083,0.0022407627977755083
thumb_pixel_092,0.0022274723233566204,0.0022274723233566204
thumb_pixel_107,0.0022113287404285746,0.0022113287404285746
thumb_pixel_089,0.0021769514078248055,0.0021769514078248055
thumb_pixel_108,0.0021690822167890387,0.0021690822167890387
thumb_pixel_208,0.0021631584130300426,0.0021631584130300426
thumb_pixel_228,0.00216200698467858,0.00216200698467858
thumb_pixel_011,0.0021509155441160168,0.0021509155441160168
thumb_pixel_210,0.002114853742445291,0.002114853742445291
red_q25,0.0021018656091951614,0.0021018656091951614
gray_hist_06,0.0021014477011411185,0.0021014477011411185
thumb_pixel_219,0.002074334011466481,0.002074334011466481
thumb_pixel_104,0.0020666038454931037,0.0020666038454931037
thumb_pixel_079,0.002066260366517158,0.002066260366517158
thumb_pixel_250,0.0020547147350317594,0.0020547147350317594
thumb_pixel_059,0.0020533951461276273,0.0020533951461276273
thumb_pixel_033,0.0020497020642100527,0.0020497020642100527
thumb_pixel_069,0.0020438464190978643,0.0020438464190978643
thumb_pixel_145,0.0020410492659440347,0.0020410492659440347
thumb_pixel_190,0.002040577093130966,0.002040577093130966
thumb_pixel_030,0.0020127577981670724,0.0020127577981670724
thumb_pixel_173,0.002007957319318403,0.002007957319318403
thumb_pixel_025,0.002003358528546703,0.002003358528546703
green_hist_01,0.001992830398552427,0.001992830398552427
thumb_pixel_238,0.0019869791417825387,0.0019869791417825387
gray_hist_01,0.0019689049961754187,0.0019689049961754187
thumb_pixel_058,0.0019649163915196953,0.0019649163915196953
thumb_pixel_251,0.001948020437841151,0.001948020437841151
thumb_pixel_095,0.0019302345590619292,0.0019302345590619292
